"'N","'x1 x2 x3 x4 x5","'x5 x4","'(x5 x4)10","'x3 x2 x1","'(x3 x2 x1)10","'+","'f"
"'0","'0 0 0 0 0","'0 0","'0","'0 0 0","'0","'0","'0"
"'1","'0 0 0 0 1","'1 0","'2","'0 0 0","'0","'2","'0"
"'2","'0 0 0 1 0","'0 1","'1","'0 0 0","'0","'1","'1"
"'3","'0 0 0 1 1","'1 1","'3","'0 0 0","'0","'3","'D"
"'4","'0 0 1 0 0","'0 0","'0","'1 0 0","'4","'4","'0"
"'5","'0 0 1 0 1","'1 0","'2","'1 0 0","'4","'6","'1"
"'6","'0 0 1 1 0","'0 1","'1","'1 0 0","'4","'5","'1"
"'7","'0 0 1 1 1","'1 1","'3","'1 0 0","'4","'7","'1"
"'8","'0 1 0 0 0","'0 0","'0","'0 1 0","'2","'2","'0"
"'9","'0 1 0 0 1","'1 0","'2","'0 1 0","'2","'4","'0"
"'10","'0 1 0 1 0","'0 1","'1","'0 1 0","'2","'3","'D"
"'11","'0 1 0 1 1","'1 1","'3","'0 1 0","'2","'5","'1"
"'12","'0 1 1 0 0","'0 0","'0","'1 1 0","'6","'6","'1"
"'13","'0 1 1 0 1","'1 0","'2","'1 1 0","'6","'8","'1"
"'14","'0 1 1 1 0","'0 1","'1","'1 1 0","'6","'7","'1"
"'15","'0 1 1 1 1","'1 1","'3","'1 1 0","'6","'9","'0"
"'16","'1 0 0 0 0","'0 0","'0","'0 0 1","'1","'1","'1"
"'17","'1 0 0 0 1","'1 0","'2","'0 0 1","'1","'3","'D"
"'18","'1 0 0 1 0","'0 1","'1","'0 0 1","'1","'2","'0"
"'19","'1 0 0 1 1","'1 1","'3","'0 0 1","'1","'4","'0"
"'20","'1 0 1 0 0","'0 0","'0","'1 0 1","'5","'5","'1"
"'21","'1 0 1 0 1","'1 0","'2","'1 0 1","'5","'7","'1"
"'22","'1 0 1 1 0","'0 1","'1","'1 0 1","'5","'6","'1"
"'23","'1 0 1 1 1","'1 1","'3","'1 0 1","'5","'8","'1"
"'24","'1 1 0 0 0","'0 0","'0","'0 1 1","'3","'3","'D"
"'25","'1 1 0 0 1","'1 0","'2","'0 1 1","'3","'5","'1"
"'26","'1 1 0 1 0","'0 1","'1","'0 1 1","'3","'4","'0"
"'27","'1 1 0 1 1","'1 1","'3","'0 1 1","'3","'6","'1"
"'28","'1 1 1 0 0","'0 0","'0","'1 1 1","'7","'7","'1"
"'29","'1 1 1 0 1","'1 0","'2","'1 1 1","'7","'9","'0"
"'30","'1 1 1 1 0","'0 1","'1","'1 1 1","'7","'8","'1"
"'31","'1 1 1 1 1","'1 1","'3","'1 1 1","'7","'10","'0"
