"'Адрес","'Код","'IP","'CR","'AR","'DR","'SP","'BR","'AC","'NZVC","'Адрес","'Новый код"
"'420","'0200","'421","'0200","'420","'0200","'000","'0420","'0000","'0100"
"'421","'EE1D","'422","'EE1D","'43F","'0000","'000","'001D","'0000","'0100","'43F","'0000"
"'422","'AE1D","'423","'AE1D","'440","'05C7","'000","'001D","'05C7","'0000"
"'423","'EE1D","'424","'EE1D","'441","'05C7","'000","'001D","'05C7","'0000","'441","'05C7"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'05C7","'0000"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0540","'0000"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0000"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0000"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'00ED","'0000"
"'429","'EE14","'42A","'EE14","'43E","'00ED","'000","'0014","'00ED","'0000","'43E","'00ED"
"'42A","'AE14","'42B","'AE14","'43F","'0000","'000","'0014","'0000","'0100"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0000","'0100"
"'42C","'F001","'42E","'F001","'42C","'F001","'000","'0001","'0000","'0100"
"'42E","'AE0F","'42F","'AE0F","'43E","'00ED","'000","'000F","'00ED","'0000"
"'42F","'CE02","'432","'CE02","'42F","'0432","'000","'0002","'00ED","'0000"
"'432","'380E","'433","'380E","'5C7","'0000","'000","'FF12","'00ED","'0000"
"'433","'E80D","'434","'E80D","'5C7","'00ED","'000","'000D","'00ED","'0000","'5C7","'00ED"
"'434","'AE0C","'435","'AE0C","'441","'05C7","'000","'000C","'05C7","'0000"
"'435","'4E09","'436","'4E09","'43F","'0000","'000","'0009","'05C7","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05C7","'000","'000A","'05C7","'0000","'441","'05C7"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0000","'000","'0006","'0001","'0001"
"'439","'EE05","'43A","'EE05","'43F","'0001","'000","'0005","'0001","'0001","'43F","'0001"
"'43A","'AE03","'43B","'AE03","'43E","'00ED","'000","'0003","'00ED","'0001"
